City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,fisterra,42.9049,-9.2629,16.39,69,23,4.97,ES,1731621291
111,trimbak,19.9333,73.55,19.18,71,98,2.99,IN,1731621292
112,yeonggwang,35.275,126.5094,14.82,77,96,1.84,KR,1731621295
113,margaret river,-33.95,115.0667,13.22,79,100,3.56,AU,1731621296
114,porangatu,-13.4408,-49.1486,22.47,89,96,1.65,BR,1731621298
115,qamdo,31.1667,97.2333,-2.95,49,0,2.01,CN,1731621299
116,sao joao da barra,-21.6403,-41.0511,22.05,92,100,5.16,BR,1731621301
117,acarau,-2.8856,-40.12,25.78,75,17,7.94,BR,1731621302
118,port lincoln,-34.7333,135.8667,15.47,70,1,5.7,AU,1731621303
119,pemangkat,1.1667,108.9667,25.46,88,98,2.49,ID,1731621304
120,santa cruz,-17.8,-63.1667,32.03,35,11,3.09,BO,1731621159
121,arno,60.1167,18.6333,4.93,66,41,6.16,SE,1731621306
122,whitehorse,60.7161,-135.0538,-7.72,85,75,1.03,CA,1731621307
123,dehdasht,30.7949,50.5646,14.49,50,2,0.83,IR,1731621309
124,papatowai,-46.5619,169.4708,10.89,96,100,6.28,NZ,1731621310
125,marsabit,2.3284,37.9899,21.15,69,87,5.74,KE,1731621312
126,vilyuchinsk,52.9306,158.4028,-12.85,82,6,4.43,RU,1731621313
127,wynyard,-41.0,145.7167,12.88,71,100,6.71,AU,1731621314
128,tura,25.5198,90.2201,17.51,90,0,1.79,IN,1731621315
129,egilsstadir,65.2653,-14.3948,11.95,62,47,10.8,IS,1731621316
130,minas de marcona,-15.2119,-75.1103,17.82,65,20,5.27,PE,1731621318
131,polyarnyy,69.1989,33.4478,1.12,77,94,13.23,RU,1731621319
132,kota bharu,6.1333,102.2386,25.97,94,40,1.03,MY,1731621320
133,yamada,39.4667,141.95,11.19,86,100,1.37,JP,1731621321
134,roma,43.2128,-75.4557,5.38,37,100,2.24,US,1731621231
135,mil'kovo,55.6078,37.7956,0.35,57,100,3.94,RU,1731621323
136,zhigalovo,54.8097,105.1578,-11.64,95,100,1.18,RU,1731621324
137,cabo san lucas,22.8909,-109.9124,29.31,49,3,1.34,MX,1731621325
138,taro,-8.3862,115.28,19.42,97,100,0.92,ID,1731621327
139,trincomalee,8.5711,81.2335,25.66,87,100,2.61,LK,1731621328
140,warmbad,-28.45,18.7333,26.52,12,0,2.85,NA,1731621329
141,astrakhan,46.3497,48.0408,4.93,81,0,4.0,RU,1731621330
142,jamestown,42.097,-79.2353,5.01,91,100,4.12,US,1731621107
143,nar'yan-mar,67.6713,53.087,0.57,95,100,5.11,RU,1731621332
144,choyr,46.3611,108.3611,-0.84,52,24,10.22,MN,1731621333
145,hastings,50.8552,0.5729,9.43,40,82,3.65,GB,1731621335
146,alice springs,-23.7,133.8833,19.75,28,26,2.06,AU,1731621336
147,prado,-17.3411,-39.2208,23.62,90,100,3.14,BR,1731621337
148,aasiaat,68.7098,-52.8699,-15.62,98,75,3.73,GL,1731621222
149,albany,42.6001,-73.9662,4.64,46,100,0.68,US,1731620820
150,tarsus,36.9188,34.8784,15.88,84,6,2.07,TR,1731621340
151,arraial do cabo,-22.9661,-42.0278,22.92,83,100,1.03,BR,1731621341
152,kyzylorda,44.8528,65.5092,-5.99,86,0,0.0,KZ,1731621343
153,ulladulla,-35.35,150.4667,15.74,78,100,2.15,AU,1731621344
154,yinchuan,38.4681,106.2731,8.41,74,100,2.35,CN,1731621345
155,thompson,55.7435,-97.8558,-2.91,68,100,3.6,CA,1731621346
156,fortaleza,-3.7227,-38.5247,27.07,74,0,4.12,BR,1731621121
157,olonkinbyen,70.9221,-8.7187,-3.79,95,100,9.53,SJ,1731621348
158,huntsville,34.7304,-86.5861,17.93,67,40,5.14,US,1731621349
159,namibe,-15.1961,12.1522,22.48,82,86,1.23,AO,1731621350
160,taksimo,56.3444,114.8794,-22.21,93,85,0.52,RU,1731621352
